@relation 'gesture-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.bayes.NaiveBayes -D-C-1-F0-T0.1-I0-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.bayes.NaiveBayes -D-C-1-F0-T0.1-I0'

@attribute meanX numeric
@attribute meanY numeric
@attribute meanZ numeric
@attribute maxX numeric
@attribute maxY numeric
@attribute maxZ numeric
@attribute minX numeric
@attribute minY numeric
@attribute minZ numeric
@attribute meanCrossingX numeric
@attribute meanCrossingY numeric
@attribute meanCrossingZ numeric
@attribute absMeanX numeric
@attribute absMeanY numeric
@attribute absMeanZ numeric
@attribute absDifferenceX numeric
@attribute absDifferenceY numeric
@attribute absDifferenceZ numeric
@attribute stdDeviationX numeric
@attribute stdDeviationY numeric
@attribute stdDeviationZ numeric
@attribute skewnessX numeric
@attribute skewnessY numeric
@attribute skewnessZ numeric
@attribute kurtosisX numeric
@attribute kurtosisY numeric
@attribute kurtosisZ numeric
@attribute rootMeanSquareX numeric
@attribute rootMeanSquareY numeric
@attribute rootMeanSquareZ numeric
@attribute percentile25X numeric
@attribute percentile25Y numeric
@attribute percentile25Z numeric
@attribute percentile50X numeric
@attribute percentile50Y numeric
@attribute percentile50Z numeric
@attribute percentile75X numeric
@attribute percentile75Y numeric
@attribute percentile75Z numeric
@attribute class {gesture-pacing,gesture-rocking,gesture-hairpulling,gesture-scratching,gesture-hitting,gesture-punching,gesture-still}

@data
-1.686927,4.807939,-1.795249,12.867487,16.179117,4.498705,-17.85027,-13.120824,-18.069788,10,14,11,3.779543,7.727415,3.272083,6.479108,11.672682,0,40.1468,65.09407,23.033014,-0.973351,-0.478752,-2.088502,3.377602,-0.514999,5.991188,6.556869,9.392037,5.124054,-3.482067,-0.01631,-2.838176,-0.474043,4.272154,-1.271022,0.322619,11.131541,0.440533,gesture-hairpulling
-3.985086,2.925769,-3.167746,9.527277,15.818789,2.54743,-19.916466,-14.346355,-11.318439,13,15,14,5.604644,6.476311,3.599181,7.761109,10.392296,0,40.149467,58.04963,10.508933,-0.445476,-0.284775,-0.512305,1.751338,0.058412,0.558958,7.485344,8.16148,4.532499,-6.321141,-1.514782,-5.746084,-3.617489,2.182315,-2.841618,-1.614291,9.378387,-0.954987,gesture-hairpulling
-4.733571,1.96847,-2.818622,7.006482,15.227272,4.100203,-27.162369,-14.081198,-18.859726,10,15,12,6.121759,7.185305,3.337728,8.636847,12.12302,0,59.604053,74.71914,18.416428,-1.389567,-0.316515,-2.549792,2.339259,-0.674558,9.723414,9.055978,8.865327,5.134302,-6.772598,-4.412514,-3.886687,-2.838176,1.407342,-2.798971,-0.647681,8.855104,-0.996586,gesture-hairpulling
-3.052094,1.202705,-1.188904,5.252819,12.715456,6.756972,-15.145271,-14.019248,-7.713968,10,13,13,4.316795,6.354683,2.634577,5.985334,10.499255,0,24.13647,53.903423,10.06881,-0.836869,-0.28044,0.58794,0.896564,-0.728412,1.387659,5.783749,7.439753,3.388555,-4.288763,-5.80145,-3.145831,-2.534113,1.605612,-1.475427,-0.970101,5.608717,0.135422,gesture-hairpulling
-1.44221,3.391406,-1.681133,1.633594,15.547497,4.151335,-7.774571,-11.96607,-11.674875,11,15,14,2.218617,6.668874,2.583352,3.272594,10.674488,0,7.409921,55.172127,10.7743,-0.950154,-0.255166,-1.206425,-0.0435,-0.600077,3.200458,3.080566,8.1654,3.687886,-3.43538,-1.923741,-3.008165,-0.874931,2.381034,-1.517774,0.99943,9.718813,0.00015,gesture-hairpulling
-1.186328,1.138428,-2.19288,9.326313,14.759505,3.636493,-11.438448,-12.665926,-13.310266,11,12,10,4.514268,6.86443,2.997691,7.412238,10.440389,0,34.72825,63.050743,13.506795,0.067902,-0.453184,-1.397286,-0.064419,-0.820654,2.990424,6.011291,8.021643,4.279663,-3.975871,-7.494001,-3.992331,-1.189769,3.813215,-1.679533,0.467917,6.773197,-0.335039,gesture-hairpulling
-3.30303,2.161955,-2.654223,13.273455,15.743821,4.660532,-15.40579,-13.097331,-18.1892,15,13,15,5.671882,7.374195,4.011025,7.954205,10.634547,0,41.925743,68.55214,26.881561,0.394972,-0.239156,-1.486887,1.265861,-0.823936,3.000144,7.26882,8.55723,5.824643,-7.458537,-4.417452,-4.040216,-3.20112,2.067543,-2.25863,0.280271,8.489989,0.748936,gesture-hairpulling
-1.730649,2.559234,-0.477764,9.338883,15.106665,11.472865,-12.662035,-12.062287,-21.002386,9,12,8,4.012548,7.389136,3.33831,6.566906,10.292074,0,29.75362,67.637955,35.164635,-0.528379,-0.126711,-1.658584,0.419238,-1.209059,7.193583,5.722653,8.613225,5.949193,-5.000739,-7.315783,-1.889779,0.214131,2.404976,-0.45415,0.7226,9.009232,1.327884,gesture-hairpulling
-3.60475,2.598533,-1.828561,6.145317,21.664234,5.217265,-25.895685,-14.03122,-9.168446,10,17,12,6.213123,7.370309,3.032396,9.124007,13.608049,0,64.85055,82.23487,11.121837,-1.218207,0.278646,-0.08746,1.492055,-0.33399,0.046142,8.822968,9.433305,3.80335,-6.341791,-3.40246,-4.101267,-2.339584,1.261595,-2.309806,1.331581,9.493908,0.847098,gesture-hairpulling
-1.937405,2.512047,-1.838787,12.761992,15.411177,5.167286,-15.445145,-8.506748,-7.10629,9,15,7,4.503631,6.600988,3.074892,6.490901,10.860666,0,38.214333,53.994976,9.24792,-0.149711,0.189182,0.625923,1.822553,-1.122873,-0.011416,6.478261,7.765653,3.553739,-3.995174,-5.063736,-4.189105,-2.008735,1.820641,-2.809147,0.005836,8.472033,-0.154576,gesture-hairpulling
